, -10-ftime, -10-kftime, -10-time, -5-ftime, -5-kftime, -5-time,H-0-ftime,H-0-kftime,H-0-time,d-9-ftime,d-9-kftime,d-9-time,e-1-ftime,e-1-kftime,e-1-time,g-6-ftime,g-6-kftime,g-6-time,i-12-ftime,i-12-kftime,i-12-time,l-2-ftime,l-2-kftime,l-2-time,l-3-ftime,l-3-kftime,l-3-time,m,o-4-ftime,o-4-kftime,o-4-time,o-7-ftime,o-7-kftime,o-7-time,o-8-ftime,o-8-kftime,o-8-time,r-13-ftime,r-13-kftime,r-13-time,s-11-ftime,s-11-kftime,s-11-time,totaltime
26,51,162,111,89,212,123,486.0,597,111,38,145,107,420,515,95,0,79,79,128.0,235.0,107.0,70,149,79,67,142,75,1.0,94,193,99,111,178,67,101,197,96,18.0,101.0,83.0,0,107,107,1422
27,17,92,75,60,190,130,486.0,582,96,41,144,103,79,222,143,567,638,71,0.0,91.0,91.0,103,170,67,127,266,139,1.0,90,213,123,490,549,59,47,133,86,24.0,95.0,71.0,34,153,119,1431
28,12,122,110,57,198,141,,72,72,0,92,92,81,200,119,0,91,91,0.0,91.0,91.0,21,73,52,44,119,75,,109,222,113,42,105,63,54,151,97,23.0,114.0,91.0,0,119,119,1326
29,0,107,107,48,179,131,595.0,658,63,44,146,102,88,175,87,5,72,67,0.0,95.0,95.0,9,70,61,53,140,87,,84,195,111,47,98,51,56,129,73,22.0,109.0,87.0,13,127,114,1236
30,9,100,91,53,168,115,429.0,520,91,18,117,99,42,171,129,0,75,75,0.0,91.0,91.0,18,73,55,63,142,79,1.0,432,527,95,69,128,59,62,137,75,,,,39,138,99,1288
31,9,96,87,45,169,124,401.0,496,95,28,143,115,41,148,107,5,84,79,0.0,88.0,88.0,19,71,52,68,135,67,1.0,103,202,99,28,89,61,59,138,79,,,,14,120,106,1248
32,9,88,79,9,132,123,348.0,431,83,32,132,100,24,157,133,189,264,75,0.0,79.0,79.0,0,67,67,54,134,80,,164,283,119,50,149,99,89,192,103,,,,65,212,147,1287
33,219,338,119,286,405,119,11565.0,11656,91,158,257,99,427,530,103,212,327,115,138.0,285.0,147.0,337,412,75,77,200,123,1.0,381,536,155,239,322,83,355,482,127,218.0,325.0,107.0,117,248,131,2557
34,141,292,151,702,833,131,,51,51,144,303,159,125,228,103,268,395,127,210.0,393.0,183.0,42,121,79,54,145,91,,894,993,99,234,349,115,274,425,151,241.0,376.0,135.0,154,329,175,1750
35,44,151,107,72,183,111,24966.0,25033,67,38,77,39,106,189,83,0,91,91,0.0,87.0,87.0,21,84,63,53,144,91,,78,213,135,69,128,59,67,138,71,30.0,104.0,74.0,13,120,107,1185
36,818,937,119,481,544,63,3267.0,3430,163,121,200,79,529,684,155,273,360,87,640.0,819.0,179.0,186,277,91,103,250,147,,653,752,99,501,552,51,57,130,73,307.0,366.0,59.0,254,389,135,1500
37,337,504,167,502,649,147,15795.0,15938,143,355,554,199,1012,1303,291,372,523,151,286.0,457.0,171.0,999,1254,255,356,647,291,,337,548,211,442,601,159,334,457,123,305.0,476.0,171.0,264,447,183,2662
38,204,379,175,552,756,204,66915.0,67069,154,258,422,164,937,1153,216,225,384,159,232.0,387.0,155.0,691,882,191,703,955,252,,500,724,224,658,849,191,325,560,235,420.0,615.0,195.0,219,422,203,2718
39,287,406,119,270,317,47,31872.0,32042,170,114,249,135,917,984,67,869,980,111,277.0,472.0,195.0,841,936,95,284,399,115,,587,706,119,839,982,143,97,227,130,144.0,286.0,142.0,351,546,195,1783
